Host,phylumH,classH,orderH,familyH,genusH,YearH,Parasite,phylumP,classP,orderP,familyP,genusP,YearP
Mustelus mustelus,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,1758,Diesingium lomentaceum,Platyhelminthes,Cestoda,Trypanorhyncha,Lacistorhynchidae,Diesingium,1850
Anoxypristis cuspidata,Chordata,Elasmobranchii,Rhinopristiformes,Pristidae,Anoxypristis,1794,Fossobothrium perplexum,Platyhelminthes,Cestoda,Trypanorhyncha,Otobothriidae,Fossobothrium,2005
Carcharhinus leucas,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,1839,Cathetocephalus resendezi,Platyhelminthes,Cestoda,Cathetocephalidea,Cathetocephalidae,Cathetocephalus,2005
Lamiopsis tephrodes,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Lamiopsis,1905,Sanguilevator yearsleyi,Platyhelminthes,Cestoda,Cathetocephalidea,Cathetocephalidae,Sanguilevator,2005
Carcharhinus leucas,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,1839,Sanguilevator yearsleyi,Platyhelminthes,Cestoda,Cathetocephalidea,Cathetocephalidae,Sanguilevator,2005
Sphyrna tiburo,Chordata,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,1758,Phoreiobothrium tiburonis,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Phoreiobothrium,1982
Carcharhinus plumbeus,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,1827,Phoreiobothrium blissorum,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Phoreiobothrium,2005
Carcharhinus plumbeus,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,1827,Phoreiobothrium blissorum,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Phoreiobothrium,2005
Sphyrna lewini,Chordata,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,1834,Phoreiobothrium lewinense,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Phoreiobothrium,2005
Negaprion acutidens,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Negaprion,1837,Phoreiobothrium perilocrocodilus,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Phoreiobothrium,2005
Carcharhinus brachyurus,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,1870,Phoreiobothrium robertsoni,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Phoreiobothrium,2005
Taeniura lymma,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Taeniura,1775,Aberrapex manjajiae,Platyhelminthes,Cestoda,Lecanicephalidea,Aberrapecidae,Aberrapex,2006
Aetomylaeus maculatus,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetomylaeus,1834,Rhoptrobothrium myliobatidis,Platyhelminthes,Cestoda,Tetraphyllidea,Rhoptrobothriidae,Rhoptrobothrium,1906
Myliobatis californica,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,1865,Caulobothrium opisthorchis,Platyhelminthes,Cestoda,Tetraphyllidea,Tetraphyllidea incertae sedis,Caulobothrium,1955
Zanobatus schoenleinii,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Zanobatus,1841,Stillabothrium cadenati,Platyhelminthes,Cestoda,Rhinebothriidea,Escherbothriidae,Stillabothrium,1954
Mobula thurstoni,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Mobula,1908,Hemionchos striatus,Platyhelminthes,Cestoda,Trypanorhyncha,Eutetrarhynchidae,Hemionchos,2006
Mobula munkiana,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Mobula,1987,Hemionchos mobulae,Platyhelminthes,Cestoda,Trypanorhyncha,Eutetrarhynchidae,Hemionchos,2006
Mobula japanica,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Mobula,1841,Hemionchos mobulae,Platyhelminthes,Cestoda,Trypanorhyncha,Eutetrarhynchidae,Hemionchos,2006
Lamiopsis tephrodes,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Lamiopsis,1905,Otobothrium crenacolle,Platyhelminthes,Cestoda,Trypanorhyncha,Otobothriidae,Otobothrium,1890
Mustelus lenticulatus,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,1932,Calliobothrium verticillatum,Platyhelminthes,Cestoda,Tetraphyllidea,Calliobothriidae,Calliobothrium,1819
Rhinoptera bonasus,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Rhinoptera,1815,Rhodobothrium paucitesticulare,Platyhelminthes,Cestoda,Rhinebothriidea,Rhinebothriidae,Rhodobothrium,1981
Urobatis jamaicensis,Chordata,Elasmobranchii,Myliobatiformes,Urotrygonidae,Urobatis,1816,Anthocephalum kingae,Platyhelminthes,Cestoda,Rhinebothriidea,Anthocephaliidae,Anthocephalum,1978
Taeniura lymma,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Taeniura,1775,Prochristianella macracantha,Platyhelminthes,Cestoda,Trypanorhyncha,Eutetrarhynchidae,Prochristianella,2004
Sphyrna mokarran,Chordata,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,1837,Otobothrium mugilis,Platyhelminthes,Cestoda,Trypanorhyncha,Otobothriidae,Otobothrium,1954
Lamiopsis tephrodes,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Lamiopsis,1905,Pseudotobothrium arii,Platyhelminthes,Cestoda,Trypanorhyncha,Pseudotobothriidae,Pseudotobothrium,1976
Rhinoptera bonasus,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Rhinoptera,1815,Mecistobothrium brevispine,Platyhelminthes,Cestoda,Trypanorhyncha,Eutetrarhynchidae,Mecistobothrium,1897
Etmopterus spinax,Chordata,Elasmobranchii,Squaliformes,Etmopteridae,Etmopterus,1758,Aporhynchus tasmaniensis,Platyhelminthes,Cestoda,Trypanorhyncha,Aporhynchidae,Aporhynchus,1990
Caranx hippos,Chordata,Actinopteri,Carangiformes,Carangidae,Caranx,1766,Dasyrhynchus giganteus,Platyhelminthes,Cestoda,Trypanorhyncha,Lacistorhynchidae,Dasyrhynchus,1850
Carcharhinus isodon,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,1839,Triloculatum geeceearelensis,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Triloculatum,2009
Carcharhinus acronotus,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,1860,Triloculatum jodyi,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Triloculatum,2009
Carcharhinus plumbeus,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,1827,Triloculatum oregontwoae,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Triloculatum,2009
Carcharhinus plumbeus,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,1827,Triloculatum oregontwoae,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Triloculatum,2009
Negaprion acutidens,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Negaprion,1837,Triloculatum andersonorum,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Triloculatum,2009
Carcharhinus brevipinna,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,1839,Triloculatum bullardi,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Triloculatum,2009
