Host,phylumH,classH,orderH,familyH,genusH,YearH,Parasite,phylumP,classP,orderP,familyP,genusP,YearP
Prionace glauca,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharinus,1758,Dasyrhynchus talismani,Platyhelminthes,Cestoda,Trypanorhyncha,Lacistorhynchidae,Dasyrhynchus,1935
Deania calcea,Chordata,Elasmobranchii,Squaliformes,Centrophoridae,Deania,1839,Deanicola minor,Platyhelminthes,Cestoda,Trypanorhyncha,Gilquiniidae,Deanicola,1990
Deania calcea,Chordata,Elasmobranchii,Squaliformes,Centrophoridae,Deania,1839,Deanicola protentus,Platyhelminthes,Cestoda,Trypanorhyncha,Gilquiniidae,Deanicola,1990
Anas crecca,Chordata,Aves,Anseriformes,Anatidae,Anas,1758,Dicranotaenia querquedula,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Dicranotaenia,1921
Cursorius cursor,Chordata,Aves,Charadriiformes,Glareolidae,Cursorius,1787,Dictymetra mahonae,Platyhelminthes,Cestoda,Cyclophyllidea,Dilepididae,Dictymetra,1982
Solea solea,Chordata,Actinopteri,Pleuronectiformes,Soleidae,Solea,1758,Didymobothrium rudolphii,Platyhelminthes,Cestoda,Spathebothriidea,Acrobothriidae,Didymobothrium,1890
Aetobatus narinari,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatus,1790,Didymorhynchus southwelli,Platyhelminthes,Cestoda,Trypanorhyncha,Eutetrarhynchidae,Didymorhynchus,1988
Aetobatus narinari,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetobatis,1790,Didymorhynchus southwelli,Platyhelminthes,Cestoda,Trypanorhyncha,Eutetrarhynchidae,Didymorhynchus,1988
Mustelus antarcticus,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,1870,Diesingium antarcticum,Platyhelminthes,Cestoda,Trypanorhyncha,Lacistorhynchidae,Diesingium,1988
Mustelus canis,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,1815,Diesingium woodsholei,Platyhelminthes,Cestoda,Trypanorhyncha,Lacistorhynchidae,Diesingium,1969
Mustelus canis,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,1815,Diesingium woodsholei,Platyhelminthes,Cestoda,Trypanorhyncha,Lacistorhynchidae,Diesingium,1969
Haematopus palliatus,Chordata,Aves,Charadriiformes,Charadriidae,Haematopus,1820,Dildotaenia latovarium,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Dildotaenia,1988
Cetorhinus maximus,Chordata,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,1765,Dinobothrium paciferum,Platyhelminthes,Cestoda,Tetraphyllidea,Gastrolecithidae,Dinobothrium,1948
Cetorhinus maximus,Chordata,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,1765,Dinobothrium paciferum,Platyhelminthes,Cestoda,Tetraphyllidea,Gastrolecithidae,Dinobothrium,1948
Cetorhinus maximus,Chordata,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,1765,Dinobothrium paciferum,Platyhelminthes,Cestoda,Tetraphyllidea,Gastrolecithidae,Dinobothrium,1948
Cetorhinus maximus,Chordata,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,1765,Dinobothrium paciferum,Platyhelminthes,Cestoda,Tetraphyllidea,Gastrolecithidae,Dinobothrium,1948
Cetorhinus maximus,Chordata,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,1765,Dinobothrium planum,Platyhelminthes,Cestoda,Tetraphyllidea,Gastrolecithidae,Dinobothrium,1922
Carcharodon carcharias,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,1758,Dinobothrium plicitum,Platyhelminthes,Cestoda,Tetraphyllidea,Gastrolecithidae,Dinobothrium,1922
Carcharodon carcharias,Chordata,Elasmobranchii,Lamniformes,Odontaspididae,Carcharias,1758,Dinobothrium plicitum,Platyhelminthes,Cestoda,Tetraphyllidea,Gastrolecithidae,Dinobothrium,1922
Rhinoptera bonasus,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Rhinoptera,1815,Dioecotaenia campbelli,Platyhelminthes,Cestoda,Tetraphyllidea,Dioecotaeniidae,Dioecotaenia,1981
Rhinoptera bonasus,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Rhinoptera,1815,Dioecotaenia campbelli,Platyhelminthes,Cestoda,Tetraphyllidea,Dioecotaeniidae,Dioecotaenia,1981
Stercorarius parasiticus,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,1758,Diphyllobothrium arctomarinum,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Diphyllobothrium,1969
Balaenoptera borealis,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,1828,Diphyllobothrium balaenopterae,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Diphyllobothrium,1892
Balaenoptera borealis,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,1828,Diphyllobothrium balaenopterae,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Diplogonoporus,1892
Monachus schauinslandi,Chordata,Mammalia,Carnivora,Phocidae,Monachus,1905,Diphyllobothrium cameroni,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Diphyllobothrium,1969
Odobenus rosmarus divergens,Chordata,Mammalia,Carnivora,Odobenidae,Odobenus,1815,Diphyllobothrium fayi,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Diphyllobothrium,2005
Lobodon carcinophagus,Chordata,Mammalia,Carnivora,Phocidae,Lobodon,1842,Diphyllobothrium lobodoni,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Diphyllobothrium,1994
Monachus schauinslandi,Chordata,Mammalia,Carnivora,Phocidae,Monachus,1905,Diphyllobothrium minutus,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Diphyllobothrium,1987
Orcinus orca,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Orcinus,1758,Diphyllobothrium orcini,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Diphyllobothrium,1990
Orcinus orca,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Orca,1758,Diphyllobothrium orcini,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Diphyllobothrium,1990
Orcinus orca,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Orcinus,1758,Diphyllobothrium polyrugosum,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Diphyllobothrium,1966
Orcinus orca,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Orca,1758,Diphyllobothrium polyrugosum,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Diphyllobothrium,1966
Monachus schauinslandi,Chordata,Mammalia,Carnivora,Phocidae,Monachus,1905,Diphyllobothrium rauschi,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Diphyllobothrium,1987
Salvelinus alpinus,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salvelinus,1758,Diphyllobothrium salvelini,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Diphyllobothrium,1955
Secutor ruconius,Chordata,Actinopteri,Acanthuriformes,Leiognathidae,Secutor,1822,Diplootobothrium tamilnadensis,Platyhelminthes,Cestoda,Trypanorhyncha,Otobothriidae,Diplootobothrium,1980
Recurvirostra andina,Chordata,Aves,Charadriiformes,Recurvirostridae,Recurvirostra,1861,Diplophallus coili,Platyhelminthes,Cestoda,Cyclophyllidea,Acoleidae,Diplophallus,1976
Carcharhinus longimanus,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,1861,Disculiceps galapagoensis,Platyhelminthes,Cestoda,Cathetocephalidea,Disculicepitidae,Disculiceps,1988
Maculabatis gerrardi,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Maculabatis,1851,Divaricobothrium tribelum,Platyhelminthes,Cestoda,Rhinebothriidea,Anthocephaliidae,Divaricobothrium,2017
