papers,host,parasite,index
"PALM, H.W. (2004) [16112]",Gymnura micrura,Pterobothrium southwelli,16112
"PALM, H.W. (2004) [16112]",Gymnura micrura,Pterobothrium sp,16112
"WARREN, M.B. et.al. (2019) [27158]",Gymnura micrura,Gymnurahemecus bulbosus,27158
"WARREN, M.B. et.al. (2019) [28146]",Gymnura micrura,Gymnurahemecus bulbosus,28146
"GOLDSTEIN, R.J. et.al. (1966) [23395]",Gymnura micrura,Branchellion ravenelii,23395
"SAWYER, R.T. et.al. (1975) [17101]",Gymnura micrura,Branchellion ravenelii,17101
"SAWYER, R.T. et.al. (1975) [25687]",Gymnura micrura,Branchellion ravenelii,25687
"SAWYER, R.T. et.al. (1975) [25687]",Gymnura micrura,Branchellion torpedinis,25687
"DIPPENAAR, S.M. (2004) [15303]",Gymnura natalensis,Schistobrachia jordaanae,15303
"DIPPENAAR, S.M. et.al. (2004) [7613]",Gymnura natalensis,Schistobrachia jordaanae,7613
"SCHAEFFNER, B.C. et.al. (2019) [27172]",Gymnura natalensis,Schistobrachia jordaanae,27172
"DIPPENAAR, S.M. et.al. (2000) [16637]",Gymnura natalensis,Schistobrachia sp,16637
"MALEKI, L. et.al. (2019) [27361] ( used host: Gymnura cf. poecilura)",Gymnura poecilura,Acanthobothrium halehae,27361
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741] ( used host: Gymnura cf. poecilura)",Gymnura poecilura,Acanthobothrium halehae,28741
"MALEKI, L. et.al. (2019) [27361] ( used host: Gymnura cf. poecilura)",Gymnura poecilura,Acanthobothrium kurdistanense,27361
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741] ( used host: Gymnura cf. poecilura)",Gymnura poecilura,Acanthobothrium kurdistanense,28741
"MALEKI, L. et.al. (2019) [27361] ( used host: Gymnura cf. poecilura)",Gymnura poecilura,Acanthobothrium makranense,27361
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741] ( used host: Gymnura cf. poecilura)",Gymnura poecilura,Acanthobothrium makranense,28741
"GOLDSTEIN, R.J. (1967) [16175] ( used host: Pteroplatea poecilura)",Gymnura poecilura,Acanthobothrium micracantha,16175
"MALEKI, L. et.al. (2019) [27361] ( used host: Gymnura cf. poecilura)",Gymnura poecilura,Acanthobothrium omanense,27361
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741] ( used host: Gymnura cf. poecilura)",Gymnura poecilura,Acanthobothrium omanense,28741
"MALEKI, L. et.al. (2019) [27361] ( used host: Gymnura cf. poecilura)",Gymnura poecilura,Acanthobothrium persicum,27361
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741] ( used host: Gymnura cf. poecilura)",Gymnura poecilura,Acanthobothrium persicum,28741
"HASELI, M. et.al. (2010) [15730] ( used host: Gymnura cf. poecilura)",Gymnura poecilura,Proemotobothrium southwelli,15730
"HASELI, M. et.al. (2010) [15730] ( used host: Gymnura cf. poecilura)",Gymnura poecilura,Pterobothrium lesteri,15730
"SCHAEFFNER, B.C. et.al. (2012) [15789]",Gymnura poecilura,Pterobothrium lesteri,15789
"HASELI, M. (2013) [19555]",Gymnura poecilura,Pterobothrium lesteri,19555
"SCHAEFFNER, B.C. et.al. (2014) [21816]",Gymnura poecilura,Pterobothrium lesteri,21816
"RAJYALAKSHMI, I. et.al. (2005) [21461]",Gymnura poecilura,Hysterothylacium poecilurai,21461
"CIELOCHA, J.J. et.al. (2011) [13082]",Gymnura zonura,Hexacanalis folifer,13082
"BORUCINSKA, J.D. et.al. (2013) [17367]",Gymnura zonura,Hexacanalis folifer,17367
"JENSEN, K. et.al. (2016) [23959]",Gymnura zonura,Hexacanalis folifer,23959
"YELD, E.M. et.al. (2006) [21464]",Haploblepharus edwardsii,Trypanosoma haploblephari,21464
"SCHAEFFNER, B.C. et.al. (2019) [27172]",Haploblepharus edwardsii,Trypanosoma haploblephari,27172
"MORAVEC, F. et.al. (2002) [7383]",Haploblepharus edwardsii,Proleptus obtusus,7383
"YELD, E.M. (2009) [16576]",Haploblepharus edwardsii,Proleptus obtusus,16576
"SCHAEFFNER, B.C. et.al. (2019) [27172]",Haploblepharus edwardsii,Proleptus obtusus,27172
"SCHAEFFNER, B.C. et.al. (2019) [27172]",Haploblepharus edwardsii,Achtheinus dentatus,27172
"DIPPENAAR, S.M. (2004) [15303] (used parasite: Perissopus oblongus )",Haploblepharus edwardsii,Achtheinus oblongus,15303
"YELD, E.M. (2009) [16576] (used parasite: Perissopus oblongus )",Haploblepharus edwardsii,Achtheinus oblongus,16576
"SCHAEFFNER, B.C. et.al. (2019) [27172]",Haploblepharus edwardsii,Achtheinus oblongus,27172
"DIPPENAAR, S.M. (2004) [15303]",Haploblepharus edwardsii,Charopinus dalmanni,15303
"SCHAEFFNER, B.C. et.al. (2019) [27172]",Haploblepharus edwardsii,Charopinus dalmanni,27172
"OLDEWAGE, W.H. (1992) [21498]",Haploblepharus edwardsii,Perissopus armatus,21498
"SMIT, N.J. et.al. (2002) [9440]",Haploblepharus edwardsii,Gnathia pantherina,9440
"SMIT, N.J. et.al. (2004) [16965]",Haploblepharus edwardsii,Gnathia pantherina,16965
"HAYES, P.M. et.al. (2007) [9746]",Haploblepharus edwardsii,Gnathia pantherina,9746
"HAYES, P.M. et.al. (2007) [16639]",Haploblepharus edwardsii,Gnathia pantherina,16639
"YELD, E.M. (2009) [16576]",Haploblepharus edwardsii,Gnathia pantherina,16576
"SCHAEFFNER, B.C. et.al. (2019) [27172]",Haploblepharus edwardsii,Gnathia pantherina,27172
"YELD, E.M. et.al. (2006) [21464]",Haploblepharus pictus,Trypanosoma haploblephari,21464
"SCHAEFFNER, B.C. et.al. (2019) [27172]",Haploblepharus pictus,Trypanosoma haploblephari,27172
"YELD, E.M. (2009) [16576]",Haploblepharus pictus,Proleptus obtusus,16576
"YELD, E.M. (2009) [16576] (used parasite: Perissopus oblongus )",Haploblepharus pictus,Achtheinus oblongus,16576
"BRAY, R.A. et.al. (2020) [28528]",Harriotta raleighana,Gyrocotyle haffii,28528
"FEHLAUER-ALE, K.H. et.al. (2011) [14308]",Heliotrygon gomesi,Potamotrygonocotyle tatianae,14308
"CUTMORE, S.C. et.al. (2009) [7421] (used parasite: Paraorygmatobothrium taylori )",Hemigaleus australiensis,Scyphophyllidium taylori,7421
"CUTMORE, S.C. et.al. (2017) [25840] (used parasite: Paraorygmatobothrium taylori )",Hemigaleus australiensis,Scyphophyllidium taylori,25840
"BEVERIDGE, I. (2008) [7412]",Hemigaleus microstoma,Didymorhynchus southwelli,7412
"SCHAEFFNER, B.C. et.al. (2014) [21816]",Hemigaleus microstoma,Didymorhynchus southwelli,21816
"PALM, H.W. et.al. (2002) [17845]",Hemigaleus microstoma,Nybelinia mehlhorni,17845
"PALM, H.W. (2004) [16112]",Hemigaleus microstoma,Nybelinia mehlhorni,16112
"SCHAEFFNER, B.C. et.al. (2014) [21816]",Hemigaleus microstoma,Prochristianella aciculata,21816
"RUHNKE, T.R. et.al. (2006) [7629] (used parasite: Paraorygmatobothrium kirstenae )",Hemigaleus microstoma,Scyphophyllidium kirstenae,7629
"BEVERIDGE, I. (1990) [16252]",Hemigaleus microstoma,Trigonolobium spinuliferum,16252
"PALM, H.W. (2004) [16112]",Hemigaleus microstoma,Trigonolobium spinuliferum,16112
"SCHAEFFNER, B.C. et.al. (2014) [21816]",Hemigaleus microstoma,Trigonolobium spinuliferum,21816
"SIMPFENDORFER, C.A. (1993) [16569]",Hemigaleus microstoma,Perissopus dentatus,16569
"CRESSEY, R.F. et.al. (1988) [16579]",Hemigaleus microstoma,Pseudopandarus australis,16579
"BERNOT, J.P. et.al. (2017) [25052]",Hemigaleus microstoma,Pseudopandarus australis,25052
"CUTMORE, S.C. et.al. (2011) [14277]",Hemipristis elongata,Hemipristicola gunterae,14277
"CUTMORE, S.C. et.al. (2017) [25840]",Hemipristis elongata,Hemipristicola gunterae,25840
"CAIRA, J.N. et.al. (2007) [7410]",Hemipristis elongata,Megalonchos shawae,7410
"CUTMORE, S.C. et.al. (2018) [26821]",Hemipristis elongata,Megalonchos shawae,26821
"CAIRA, J.N. et.al. (2007) [7410]",Hemipristis elongata,Megalonchos sumansinghai,7410
"CUTMORE, S.C. et.al. (2018) [26821]",Hemipristis elongata,Megalonchos sumansinghai,26821
"PALM, H.W. et.al. (2002) [17845]",Hemipristis elongata,Nybelinia hemipristis,17845
"PALM, H.W. (2004) [16112]",Hemipristis elongata,Nybelinia hemipristis,16112
"RUHNKE, T.R. et.al. (2006) [7629] (used parasite: Paraorygmatobothrium janineae )",Hemipristis elongata,Scyphophyllidium janineae,7629
"CUTMORE, S.C. et.al. (2009) [7421] (used parasite: Paraorygmatobothrium janineae )",Hemipristis elongata,Scyphophyllidium janineae,7421
"CUTMORE, S.C. et.al. (2017) [25840] (used parasite: Paraorygmatobothrium janineae )",Hemipristis elongata,Scyphophyllidium janineae,25840
"BEVERIDGE, I. (1990) [16252]",Hemipristis elongata,Trigonolobium spinuliferum,16252
"PALM, H.W. (2004) [16112]",Hemipristis elongata,Trigonolobium spinuliferum,16112
"BRUCE, N.L. et.al. (1994) [17029] (used parasite: Terranova pristis )",Hemipristis elongata,Euterranova pristis,17029
"DIPPENAAR, S.M. (2018) [25960]",Hemipristis elongata,Tripaphylus lewisi,25960
"SCHAEFFNER, B.C. et.al. (2019) [27172]",Hemipristis elongata,Tripaphylus lewisi,27172
"BURRESON, E.M. (2020) [28595]",Hemipristis elongata,Pontobdella macrothela,28595
"GLEESON, R.J. et.al. (2012) [15542]",Hemiscyllium ocellatum,Chloromyxum hemiscyllii,15542
"GLEESON, R.J. et.al. (2010) [21484]",Hemiscyllium ocellatum,Kudoa hemiscylli,21484
"HEUPEL, M.R. et.al. (1996) [12769]",Hemiscyllium ocellatum,Kudoa sp,12769
"JENSEN, K. (2005) [16338]",Hemiscyllium ocellatum,Anteropora leelongi,16338
"JENSEN, K. et.al. (2016) [23959]",Hemiscyllium ocellatum,Anteropora leelongi,23959
"PALM, H.W. (2004) [16112]",Hemiscyllium ocellatum,Callitetrarhynchus sp,16112
"MARTIN, S.B. et.al. (2020) [28627]",Hemiscyllium ocellatum,Allopodocotyle sp,28627
"HEUPEL, M.R. et.al. (1998) [12772]",Hemiscyllium ocellatum,Proleptus australis,12772
"MCKIERNAN, J.P. et.al. (2005) [9649]",Hemiscyllium ocellatum,Gnathia sp,9649
"BENNETT, M.B. et.al. (1997) [9645]",Hemiscyllium ocellatum,Sheina orri,9645
"KEARN, G.C. (1993) [15254]",Hemitriakis japanica,Triloculotrema japanicae,15254
"CHISHOLM, L.A. et.al. (1999) [17002]",Hemitriakis japanica,Triloculotrema japanicae,17002
"KURASHIMA, A. et.al. (2014) [20940]",Hemitriakis japanica,Erudituncus xiamenensis,20940
"PENG, W.-F. et.al. (2011) [21235] ( used host: Hemitriakis japonica)",Hemitriakis japanica,Acanthocheilus sp,21235
"CHISHOLM, L.A. et.al. (1995) [17437] ( used host: Dasyatis akajei)",Hemitrygon akajei,Dendromonocotyle akajeii,17437
"CHISHOLM, L.A. et.al. (2004) [9445] ( used host: Dasyatis akajei)",Hemitrygon akajei,Dendromonocotyle akajeii,9445
"KITAMURA, A. et.al. (2019) [27164]",Hemitrygon akajei,Dendromonocotyle akajeii,27164
"CHISHOLM, L.A. et.al. (1996) [9644] ( used host: Dasyatis akajei)",Hemitrygon akajei,Heterocotyle chinensis,9644
"NITTA, M. et.al. (2015) [22929] ( used host: Dasyatis akajei)",Hemitrygon akajei,Heterocotyle chinensis,22929
"WILLIAMS, H.H. (1969) [16448] ( used host: Dasyatis akajei)",Hemitrygon akajei,Acanthobothrium coronatum,16448
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Hemitrygon akajei,Acanthobothrium coronatum,28741
"YAMAGUTI, S. (1934) [16458] ( used host: Dasybatus akajei)",Hemitrygon akajei,Acanthobothrium dasybati,16458
"GOLDSTEIN, R.J. (1967) [16175] ( used host: Dasyatis akajei)",Hemitrygon akajei,Acanthobothrium dasybati,16175
"WILLIAMS, H.H. (1969) [16448] ( used host: Dasyatis akajei)",Hemitrygon akajei,Acanthobothrium dasybati,16448
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Hemitrygon akajei,Acanthobothrium dasybati,28741
"YAMAGUTI, S. (1952) [16129] ( used host: Dasybatus akajei)",Hemitrygon akajei,Acanthobothrium grandiceps,16129
"WILLIAMS, H.H. (1969) [16448] ( used host: Dasyatis akajei)",Hemitrygon akajei,Acanthobothrium grandiceps,16448
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Hemitrygon akajei,Acanthobothrium grandiceps,28741
"YANG, C.P. et.al. (2016) [24607] ( used host: Dasyatis akajei)",Hemitrygon akajei,Acanthobothrium guanghaiense,24607
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Hemitrygon akajei,Acanthobothrium guanghaiense,28741
"YAMAGUTI, S. (1952) [16129] ( used host: Dasybatus akajei)",Hemitrygon akajei,Acanthobothrium ijimai,16129
"GOLDSTEIN, R.J. (1967) [16175] ( used host: Dasyatis akajei)",Hemitrygon akajei,Acanthobothrium ijimai,16175
"WILLIAMS, H.H. (1969) [16448] ( used host: Dasyatis akajei)",Hemitrygon akajei,Acanthobothrium ijimai,16448
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Hemitrygon akajei,Acanthobothrium ijimai,28741
"YAMAGUTI, S. (1952) [16129] ( used host: Dasybatus akajei)",Hemitrygon akajei,Acanthobothrium latum,16129
"GOLDSTEIN, R.J. (1967) [16175] ( used host: Dasyatis akajei)",Hemitrygon akajei,Acanthobothrium latum,16175
"WILLIAMS, H.H. (1969) [16448] ( used host: Dasyatis akajei)",Hemitrygon akajei,Acanthobothrium latum,16448
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Hemitrygon akajei,Acanthobothrium latum,28741
"WANG, Y. et.al. (2001) [16437] ( used host: Dasyatis akajei)",Hemitrygon akajei,Acanthobothrium macrocephalum,16437
"YANG, C.P. et.al. (2016) [24607] ( used host: Dasyatis akajei)",Hemitrygon akajei,Acanthobothrium macrocephalum,24607
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Hemitrygon akajei,Acanthobothrium macrocephalum,28741
"YAMAGUTI, S. (1952) [16129] ( used host: Dasybatus akajei)",Hemitrygon akajei,Acanthobothrium micracantha,16129
"GOLDSTEIN, R.J. (1967) [16175] ( used host: Dasyatis akajei)",Hemitrygon akajei,Acanthobothrium micracantha,16175
"WILLIAMS, H.H. (1969) [16448] ( used host: Dasyatis akajei)",Hemitrygon akajei,Acanthobothrium micracantha,16448
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Hemitrygon akajei,Acanthobothrium micracantha,28741
"YANG, C.P. et.al. (2016) [24607] ( used host: Dasyatis akajei)",Hemitrygon akajei,Acanthobothrium ningdense,24607
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Hemitrygon akajei,Acanthobothrium ningdense,28741
"WILLIAMS, H.H. (1969) [16448] ( used host: Dasyatis akajei)",Hemitrygon akajei,Acanthobothrium tsingtaoensis,16448
"YAMAGUTI, S. (1934) [16458] (used parasite: Echeneibothrium shipleyi | used host: Dasybatus akajei)",Hemitrygon akajei,Barbeaucestus shipleyi,16458
"BAER, J.G. (1948) [16247] (used parasite: Rhinebothrium shipleyi | used host: Dasyatis akajei)",Hemitrygon akajei,Barbeaucestus shipleyi,16247
"TIAN, H.-M. et.al. (2008) [24952] ( used host: Dasyatis akajei)",Hemitrygon akajei,Cephalobothrium longisegmentum,24952
"WILLIAMS, H.H. (1968) [16443] (used parasite: Phyllobothrium tumidum | used host: Dasyatis akajei)",Hemitrygon akajei,Clistobothrium tumidum,16443
"YAMAGUTI, S. (1934) [16458] ( used host: Dasybatus akajei)",Hemitrygon akajei,Echeneibothrium flexile,16458
"TIAN, H.-M. et.al. (2008) [24952] ( used host: Dasyatis akajei)",Hemitrygon akajei,Lecanicephalum peltatum,24952
"PALM, H.W. (2004) [16112] ( used host: Dasyatis akajei)",Hemitrygon akajei,Nybelinia aequidentata,16112
"YAMAGUTI, S. (1952) [16129] ( used host: Dasybatus akajei)",Hemitrygon akajei,Phyllobothrium bifidum,16129
"YAMAGUTI, S. (1934) [16458] ( used host: Dasybatus akajei)",Hemitrygon akajei,Phyllobothrium dasybati,16458
"WILLIAMS, H.H. (1968) [16443] ( used host: Dasybatus akajei)",Hemitrygon akajei,Phyllobothrium dasybati,16443
"YAMAGUTI, S. (1934) [16458] (used parasite: Pterobothrium dasybati | used host: Dasybatus akajei)",Hemitrygon akajei,Pterobothrium lintoni,16458
"CAMPBELL, R.A. et.al. (1996) [16283] ( used host: Dasyatis akajei)",Hemitrygon akajei,Pterobothrium lintoni,16283
"PALM, H.W. (2004) [16112] ( used host: Dasyatis akajei)",Hemitrygon akajei,Pterobothrium lintoni,16112
"HEALY, C.J. et.al. (2009) [16908] ( used host: Dasyatis akajei)",Hemitrygon akajei,Rhinebothrium sp,16908
"WANG, Y.-H. et.al. (2003) [21508] ( used host: Dasyatis akajei)",Hemitrygon akajei,Rhodobothrium pulvinatum,21508
"TIAN, H.-M. et.al. (2008) [24952] ( used host: Dasyatis akajei)",Hemitrygon akajei,Scalithrium sp,24952
"YANG, W. et.al. (1995) [16464] ( used host: Dasyatis akajei)",Hemitrygon akajei,Tetragonocephalum akajeinensis,16464
"SPRENT, J.F.A. (1990) [21225] ( used host: Dasyatis akajei)",Hemitrygon akajei,Mawsonascaris laymani,21225
"BRUCE, N.L. et.al. (1994) [17029] ( used host: Dasyatis akajei)",Hemitrygon akajei,Mawsonascaris laymani,17029
"FANG, W. et.al. (2006) [7572] ( used host: Dasyatis akajei)",Hemitrygon akajei,Terranova amoyensis,7572
"PENG, W.-F. et.al. (2011) [21235] ( used host: Dasyatis akajei)",Hemitrygon akajei,Terranova sp,21235
"IZAWA, K. (2011) [14349] ( used host: Dasyatis akajei)",Hemitrygon akajei,Eudactylina dasyati,14349
"IZAWA, K. (2012) [17500] ( used host: Dasyatis akajei)",Hemitrygon akajei,Eudactylina dasyati,17500
"IZAWA, K. (2011) [14314] ( used host: Dasyatis akajei)",Hemitrygon akajei,Eudactylinella alba,14314
"DEETS, G.B. et.al. (1989) [14624] ( used host: Dasyatis akajei)",Hemitrygon akajei,Trebius akajeii,14624
"NUNOMURA, N. et.al. (2004) [21435] ( used host: Dasyatis akajei)",Hemitrygon akajei,Gnathia capillata,21435
"HONMA, Y. et.al. (1991) [21440] ( used host: Dasyatis akajei)",Hemitrygon akajei,Gnathia sp,21440
"OTA, Y. et.al. (2012) [17188] ( used host: Dasyatis akajei)",Hemitrygon akajei,Gnathia trimaculata,17188
"BURRESON, E.M. et.al. (2000) [7612] (used parasite: Rhopalobdella japonica | used host: Dasyatis akajei)",Hemitrygon akajei,Pterobdella amara,7612
"BURRESON, E.M. (2006) [16524] ( used host: Dasyatis akajei)",Hemitrygon akajei,Pterobdella amara,16524
"NAGASAWA, K. et.al. (2008) [16523] ( used host: Dasyatis akajei)",Hemitrygon akajei,Pterobdella amara,16523
"GLEESON, R.J. et.al. (2010) [21484] ( used host: Dasyatis fluviorum)",Hemitrygon fluviorum,Kudoa hemiscylli,21484
"KRITSKY, D.C. et.al. (2020) [29167]",Hemitrygon fluviorum,Dendromonocotyle raiae,29167
"WHITTINGTON, I.D. et.al. (1992) [15253] ( used host: Dasyatis fluviorum)",Hemitrygon fluviorum,Empruthotrema dasyatidis,15253
"CHISHOLM, L.A. et.al. (1999) [17002] ( used host: Dasyatis fluviorum)",Hemitrygon fluviorum,Empruthotrema dasyatidis,17002
"CHISHOLM, L.A. et.al. (1996) [9644] ( used host: Dasyatis fluviorum)",Hemitrygon fluviorum,Heterocotyle chinensis,9644
"CHISHOLM, L.A. (1998) [17001] ( used host: Dasyatis fluviorum)",Hemitrygon fluviorum,Monocotyle sp,17001
"KRITSKY, D.C. et.al. (2020) [29167]",Hemitrygon fluviorum,Monocotyle sp,29167
"WHITTINGTON, I.D. et.al. (2009) [9458] ( used host: Dasyatis fluviorum)",Hemitrygon fluviorum,Neoentobdella cribbi,9458
"PALM, H.W. (2004) [16112] ( used host: Dasyatis fluviorum)",Hemitrygon fluviorum,Callitetrarhynchus gracilis,16112
"PALM, H.W. et.al. (2002) [17845] ( used host: Dasyatis fluviorum)",Hemitrygon fluviorum,Kotorella pronosoma,17845
"PALM, H.W. (2004) [16112] ( used host: Dasyatis fluviorum)",Hemitrygon fluviorum,Kotorella pronosoma,16112
"BEVERIDGE, I. (1990) [16252] ( used host: Dasyatis fluviorum)",Hemitrygon fluviorum,Parachristianella monomegacantha,16252
"PALM, H.W. (2004) [16112] ( used host: Dasyatis fluviorum)",Hemitrygon fluviorum,Parachristianella monomegacantha,16112
"BUTLER, S.A. (1987) [13130] ( used host: Dasyatis fluviorum)",Hemitrygon fluviorum,Polypocephalus moretonensis,13130
"BEVERIDGE, I. (1990) [16252] ( used host: Dasyatis fluviorum)",Hemitrygon fluviorum,Prochristianella butlerae,16252
"PALM, H.W. (2004) [16112] ( used host: Dasyatis fluviorum)",Hemitrygon fluviorum,Prochristianella butlerae,16112
"SCHAEFFNER, B.C. et.al. (2012) [17404] ( used host: Dasyatis fluviorum)",Hemitrygon fluviorum,Prochristianella butlerae,17404
"BEVERIDGE, I. (1990) [16252] ( used host: Dasyatis fluviorum)",Hemitrygon fluviorum,Prochristianella mooreae,16252
"PALM, H.W. (2004) [16112] ( used host: Dasyatis fluviorum)",Hemitrygon fluviorum,Prochristianella mooreae,16112
"COLEMAN, G.M. et.al. (2019) [26943]",Hemitrygon fluviorum,Rhinebothrium fluviorum,26943
"COLEMAN, G.M. et.al. (2019) [26943]",Hemitrygon fluviorum,Rhinebothrium fungiforme,26943
"PALM, H.W. (2004) [16112] ( used host: Dasyatis fluviorum)",Hemitrygon fluviorum,Shirleyrhynchus aetobatidis,16112
"BEVERIDGE, I. et.al. (1988) [17838] ( used host: Dasyatis fluviorum)",Hemitrygon fluviorum,Shirleyrhynchus butlerae,17838
"SCHAEFFNER, B.C. (2016) [24246] ( used host: Dasyatis fluviorum)",Hemitrygon fluviorum,Shirleyrhynchus butlerae,24246
"BOXSHALL, G. (2018) [26229] ( used host: Dasyatis fluviorum)",Hemitrygon fluviorum,Caligus elasmobranchi,26229
"OTA, Y. et.al. (2012) [17188] ( used host: Dasyatis izuensis)",Hemitrygon izuensis,Gnathia trimaculata,17188
"TIAN, H.-M. et.al. (2008) [24952] ( used host: Dasyatis navarrae)",Hemitrygon navarrae,Anthobothrium sp,24952
"HO, J.-S. et.al. (2007) [21458] ( used host: Dasyatis navarrae)",Hemitrygon navarrae,Caligus dasyaticus,21458
"TENDEIRO, J. et.al. (1955) [22563]",Heptranchias perlo,Erpocotyle francai,22563
